Character,Ваш персонаж женского пола?,У него черные волосы?,Носит ли он головной убор?,Есть ли у него шрамы; татуировки или особые отметины на лице?,Носит ли он очки или повязку на глазу?,Он выглядит как ребенок?,У него явно нечеловеческая внешность?,Использует ли он меч как основное оружие?,Сражается в дальем бою?,Сражается в рукопашку?,Можеи призывать существ(фамильяров),Может исцелять себя и других?,Состоит в официальной организации(служитель закона),Является ли он преступником(пиратом разбойником),Является ли он лидером своеё группы,Персонаж из знатного рода(по праву крови)?,Этот персонаж был в 1 сезоне?,Этот персонаж мертв на текущий момент?,Сражался ли ваш персонаж против главного героя?,Является ли персонаж учителем или наставником?,Является ли он обычным человеком?,Является ли он чьим-то слугой или подчиненным?,Является ли он синигами (проводником душ)?,Является ли он квинси?,Является ли он пустым или арранкаром?,Является ли он модифицированной душой?,Является ли он материализованным духом занпакто?,Является ли он божеством (прародителем высшим существом)?,Достиг ли этот персонаж банкая?,Светлые ли у персонажа волосы (блондин; седой или белый)?,У этого персонажа неестественный цвет волос (розовый; синий; зеленый)?,Надевает ли персонаж маску на лицо (или имеет ее фрагмент) во время боя?,Связаны ли боевые способности персонажа с конкретной стихией (огонь; лед; вода)?,Использует ли персонаж в бою яд; иллюзии или контроль разума?,Является ли этот персонаж ученым или изобретателем?,Есть ли у этого персонажа брат или сестра; также участвующие в сюжете?,Предавал ли этот персонаж свою изначальную организацию (является ли перебежчиком)?,Выделяется ли персонаж огромным ростом и габаритами (значительно крупнее остальных)?
Nanao Ise,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nanao Ise,1.0,1.0,-0.7,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-0.7,1.0,-1.0,-0.7,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.7,-0.7,-1.0,-0.7,-1.0,-1.0,0.0,-0.7,-1.0,0.0
Nanao Ise,1.0,0.0,0.0,0.0,0.7,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Nanao Ise,1.0,1.0,-0.7,-1.0,1.0,-1.0,-1.0,0.7,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,1.0,-0.7,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0
Nanao Ise,1.0,1.0,-0.7,-1.0,1.0,-1.0,-0.7,1.0,-1.0,-1.0,-1.0,-0.7,1.0,-1.0,0.7,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7
Kinroku Izuhara,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kinroku Izuhara,-1.0,1.0,-1.0,-1.0,1.0,-0.7,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kinroku Izuhara,-0.7,1.0,-1.0,0.0,1.0,-1.0,-0.7,1.0,-1.0,-1.0,0.0,-1.0,0.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-0.7,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-0.7,-1.0,-1.0,-1.0,-1.0
Kinroku Izuhara,-0.7,1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0
Kinroku Izuhara,-1.0,1.0,-1.0,-0.7,0.0,-1.0,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,0.7,-1.0,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,-0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,0.0,0.0
Hidetomo Kajomaru,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Hidetomo Kajomaru,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-0.7,1.0,-1.0,-1.0,-0.7,-1.0,1.0,-0.7,-1.0,-1.0,-1.0,1.0,-0.7,-0.7,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0
Hidetomo Kajomaru,-0.7,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,-0.7,1.0,-0.7,-1.0,-0.7,0.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,0.0
Hidetomo Kajomaru,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,-1.0,-1.0,0.0
Hidetomo Kajomaru,-0.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0
Kakyo,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kakyo,1.0,1.0,-0.7,-1.0,-1.0,-1.0,-0.7,-0.7,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0
Kakyo,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,0.0,-0.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Kakyo,1.0,0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,1.0,0.0,-1.0,-1.0,-0.7,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
Kakyo,0.7,1.0,-1.0,-0.7,-1.0,-1.0,-0.7,0.0,0.0,-0.7,-0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
Heizo Kasaki,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Heizo Kasaki,-1.0,0.0,-1.0,-1.0,-1.0,-0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,0.7,0.0,-1.0,-1.0,-1.0,-0.7,0.0,0.7,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0
Heizo Kasaki,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-0.7,-0.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
Heizo Kasaki,-0.7,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
Heizo Kasaki,-1.0,0.0,-1.0,0.0,-1.0,-0.7,-0.7,1.0,-1.0,-1.0,-1.0,-1.0,0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-0.7,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7
Asuka Katakura,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Asuka Katakura,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.7,-0.7,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Asuka Katakura,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7,1.0,-1.0,0.0,0.0,-0.7,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
Asuka Katakura,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-0.7,-1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
Asuka Katakura,-1.0,1.0,-1.0,0.0,-1.0,-0.7,-1.0,0.7,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.7,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0
Batsu'unsai Katori,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Batsu'unsai Katori,1.0,0.0,-0.7,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-0.7,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0
Batsu'unsai Katori,1.0,0.0,-1.0,-1.0,0.7,-1.0,0.0,1.0,-0.7,0.0,-0.7,0.0,1.0,-0.7,-1.0,-0.7,-0.7,0.7,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.7,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Batsu'unsai Katori,0.0,1.0,-1.0,-1.0,0.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.7,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0
Batsu'unsai Katori,0.7,1.0,-1.0,-1.0,1.0,-0.7,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.7,-1.0,-1.0,-0.7,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.7,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
Kenpachi Kiganjo,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
Kenpachi Kiganjo,-0.7,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-0.7,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-0.7,-0.7,-0.7,-0.7,-1.0,-1.0,0.0
Kenpachi Kiganjo,-0.7,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7
Kenpachi Kiganjo,-1.0,0.7,-0.7,1.0,0.0,-1.0,-1.0,0.0,-0.7,-1.0,-1.0,-1.0,1.0,0.0,0.7,-0.7,-1.0,1.0,-1.0,-0.7,-0.7,-1.0,0.0,-1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0
Kenpachi Kiganjo,-1.0,1.0,-1.0,0.7,-1.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0,-1.0,0.7,-1.0,0.7,-1.0,0.0,1.0,-1.0,-0.7,-1.0,-0.7,1.0,-0.7,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,1.0
Izuru Kira,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Izuru Kira,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-0.7,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-0.7,-1.0,-0.7,0.0,-1.0,0.0
Izuru Kira,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-0.7,0.0,-1.0,1.0,-1.0,-0.7,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
Izuru Kira,-1.0,0.0,-0.7,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,-0.7,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,-0.7,0.0
Izuru Kira,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,1.0,-1.0,0.0,-1.0,1.0,-0.7,-1.0,0.0,-0.7,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,0.0,-0.7,0.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tenjiro Kirinji,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tenjiro Kirinji,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-0.7,-0.7,-1.0,0.7,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,-1.0
Tenjiro Kirinji,0.0,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-0.7,1.0,-1.0,-1.0,0.7,-0.7,-1.0,-0.7,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
Tenjiro Kirinji,-1.0,1.0,0.0,-1.0,-1.0,-0.7,-1.0,0.7,-1.0,0.0,-1.0,1.0,0.7,-0.7,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.7,-1.0,0.0,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Tenjiro Kirinji,-1.0,0.7,0.0,-1.0,0.0,-0.7,-0.7,1.0,-0.7,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.7,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,0.0,-1.0,0.0
Isane Kotetsu,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Isane Kotetsu,1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-0.7,1.0,-1.0,-0.7,-0.7,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-0.7,-0.7,-1.0,1.0,-1.0,-1.0
Isane Kotetsu,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,1.0,-0.7,0.0,-1.0,0.7,0.7,-1.0,1.0,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,-0.7
Isane Kotetsu,1.0,-1.0,-1.0,0.0,-1.0,-0.7,-1.0,1.0,-0.7,-1.0,-0.7,0.0,0.0,-1.0,1.0,-1.0,1.0,-0.7,-1.0,-0.7,-0.7,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,-1.0
Isane Kotetsu,1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.7,1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0,0.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0
Kiyone Kotetsu,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Kiyone Kotetsu,1.0,-0.7,-0.7,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,0.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Kiyone Kotetsu,1.0,0.0,-1.0,0.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,-0.7,-0.7,-0.7,1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0
Kiyone Kotetsu,0.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.7,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,-1.0,-1.0,-0.7,0.0,0.0,-1.0,-1.0
Kiyone Kotetsu,1.0,-1.0,0.0,-1.0,-0.7,-0.7,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.7,1.0,-1.0,-1.0,-1.0,-0.7,-0.7,0.0,-1.0,-1.0
Jinemon Kotsubaki,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Jinemon Kotsubaki,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-0.7,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-0.7,-1.0,-1.0,-1.0,0.7,-1.0,-0.7
Jinemon Kotsubaki,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,-0.7,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.7,0.0,-0.7,-0.7,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.7,1.0,-0.7,-1.0
Jinemon Kotsubaki,-1.0,0.0,-1.0,1.0,-0.7,-1.0,-1.0,1.0,-1.0,-0.7,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-0.7,-0.7,-1.0,-0.7,-0.7,-1.0,0.7,-1.0,-1.0,0.0,-1.0,-1.0,-0.7,0.0,-1.0,-1.0,-1.0,-1.0,-0.7,0.7,-1.0,-1.0
Jinemon Kotsubaki,-1.0,1.0,-1.0,1.0,-1.0,-0.7,-1.0,0.7,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.7,0.0,-0.7,-1.0,-1.0,-0.7,0.0,-0.7,-1.0,1.0,-1.0,-1.0
Sentaro Kotsubaki,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
Sentaro Kotsubaki,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.7,-1.0,-1.0,1.0,-0.7,-1.0,0.0,-0.7,-0.7,0.7,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,-1.0,-0.7,-0.7,-1.0,-1.0,-0.7,1.0,0.0,-0.7
Sentaro Kotsubaki,-1.0,0.7,-1.0,-1.0,-1.0,-1.0,-1.0,0.7,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-0.7,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.7,0.0
Sentaro Kotsubaki,-0.7,0.7,-1.0,-1.0,-1.0,-1.0,-0.7,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.7,1.0,0.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,-1.0,-0.7,-1.0,-1.0,-1.0,0.7,-1.0,-1.0
